2101,南港,TSE,M21A 輪胎
2102,泰豐,TSE,M21A 輪胎
2103,台橡,TSE,M21C 橡膠原料
2104,國際中橡,TSE,M21C 橡膠原料
2105,正新,TSE,M21A 輪胎
2106,建大,TSE,M21A 輪胎
2107,厚生,TSE,M21B2 其他橡膠
2108,南帝,TSE,M21C 橡膠原料
2109,華豐,TSE,M21A 輪胎
2114,鑫永銓,TSE,M21B1 工業橡膠
2115,六暉-KY,TSE,M15D 汽車組件
2201,裕隆,TSE,M22A 汽車製造
2204,中華,TSE,M22A 汽車製造
2206,三陽工業,TSE,M22A 汽車製造
2207,和泰車,TSE,M22X 汽車買賣
2208,台船,TSE,M22B1 船舶製造
2211,長榮鋼,TSE,M20A2 鋼筋
2221,大甲,OTC,M20A7 鋼管
2227,裕日車,TSE,M22X 汽車買賣
2228,劍麟,TSE,M15D 汽車組件
2230,泰茂,OTC,M15D 汽車組件
2231,為升,TSE,M15D 汽車組件
2233,宇隆,TSE,M15D 汽車組件
2235,謚源,OTC,M15D 汽車組件
2236,百達-KY,TSE,M15D 汽車組件
2239,英利-KY,TSE,M15D 汽車組件
2241,艾姆勒,TSE,M15D 汽車組件
2243,宏旭-KY,TSE,M15D 汽車組件
2247,汎德永業,TSE,M22X 汽車買賣
2250,IKKA-KY,TSE,M15D 汽車組件
2301,光寶科,TSE,M23C3 PC週邊
2302,麗正,TSE,M23D1 分離式元件
2303,聯電,TSE,M23G1A 晶圓代工
2305,全友,TSE,M23C2 影像掃描
2308,台達電,TSE,M23D3 電源供應器
2312,金寶,TSE,M23A1 EMS
2313,華通,TSE,M23B2D 硬板及其他
2314,台揚,TSE,M23K2 衛星微波
2316,楠梓電,TSE,M23B2D 硬板及其他
2317,鴻海,TSE,M23A1 EMS
2321,東訊,TSE,M23KX 其他網通
2323,中環,TSE,M23C4A 光碟
2324,仁寶,TSE,M23A1 EMS
2327,國巨,TSE,M23D5 被動元件
2328,廣宇,TSE,M23D2 連接器
2329,華泰,TSE,M23G2 IC封測
2330,台積電,TSE,M23G1A 晶圓代工
2331,精英,TSE,M23B1 主機板
2332,友訊,TSE,M23E2 網路卡
2337,旺宏,TSE,M23G1B 記憶體製造
