資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20231006,00631L,12,8,3869000,4.65
20231006,00631L,13,1,715000,0.86
20231006,00631L,14,1,834000,1.00
20231006,00631L,15,4,8662465,10.42
20231006,00631L,16,0,0,0.00
20231006,00631L,17,16417,83084000,100.00
20231006,00632R,1,574,119388,0.00
20231006,00632R,2,13009,36274547,0.47
20231006,00632R,3,7593,65044393,0.84
20231006,00632R,4,3414,45485549,0.59
20231006,00632R,5,4010,76139518,0.99
20231006,00632R,6,4185,111488438,1.45
20231006,00632R,7,2822,104088791,1.35
20231006,00632R,8,2408,114687831,1.49
20231006,00632R,9,6387,487930989,6.35
20231006,00632R,10,4328,644469411,8.39
20231006,00632R,11,2931,854005791,11.12
20231006,00632R,12,1105,556107000,7.24
20231006,00632R,13,495,350476000,4.56
20231006,00632R,14,329,300809000,3.91
20231006,00632R,15,899,3927553354,51.17
20231006,00632R,16,1,31000,0.00
20231006,00632R,17,54489,7674649000,100.00
20231006,00633L,1,201,35836,0.01
20231006,00633L,2,3327,8327784,2.96
20231006,00633L,3,1294,10534285,3.75
20231006,00633L,4,554,7266714,2.59
20231006,00633L,5,478,8842633,3.15
20231006,00633L,6,534,13883371,4.95
20231006,00633L,7,305,11148026,3.97
20231006,00633L,8,246,11474785,4.09
20231006,00633L,9,480,35294852,12.58
20231006,00633L,10,258,36642000,13.06
20231006,00633L,11,93,26414000,9.41
20231006,00633L,12,30,14608000,5.20
20231006,00633L,13,12,8739000,3.11
20231006,00633L,14,13,12054000,4.29
20231006,00633L,15,30,75192714,26.81
20231006,00633L,16,0,0,0.00
20231006,00633L,17,7855,280458000,100.00
20231006,00634R,1,41,4343,0.00
20231006,00634R,2,474,1223694,1.91
20231006,00634R,3,162,1387001,2.17
20231006,00634R,4,67,891000,1.39
20231006,00634R,5,50,936000,1.46
20231006,00634R,6,89,2389000,3.74
20231006,00634R,7,47,1686807,2.64
20231006,00634R,8,42,1965000,3.08
20231006,00634R,9,69,5037000,7.90
20231006,00634R,10,43,6194282,9.71
20231006,00634R,11,27,7837000,12.29
20231006,00634R,12,6,3021000,4.73
20231006,00634R,13,3,2079000,3.26
20231006,00634R,14,4,3867000,6.06
20231006,00634R,15,11,25237873,39.58
20231006,00634R,16,0,0,0.00
20231006,00634R,17,1135,63756000,100.00
20231006,00635U,1,1088,254449,0.62
20231006,00635U,2,3163,6675352,16.27
20231006,00635U,3,492,3917513,9.55
20231006,00635U,4,173,2247859,5.48
20231006,00635U,5,117,2171751,5.29
20231006,00635U,6,96,2377254,5.79
20231006,00635U,7,44,1624632,3.96
20231006,00635U,8,31,1466489,3.57
20231006,00635U,9,63,4488968,10.94
20231006,00635U,10,22,3179000,7.75
20231006,00635U,11,10,2815000,6.86
20231006,00635U,12,4,1966063,4.79
20231006,00635U,13,2,1417602,3.45
20231006,00635U,14,4,3491068,8.51
20231006,00635U,15,2,2921000,7.12
20231006,00635U,16,0,0,0.00
20231006,00635U,17,5311,41014000,100.00
20231006,00636,1,1374,436342,0.19
20231006,00636,2,6252,15035832,6.61
20231006,00636,3,1807,14532964,6.39
20231006,00636,4,688,8855437,3.89
20231006,00636,5,455,8460234,3.72
20231006,00636,6,425,10881835,4.78
20231006,00636,7,188,6803037,2.99
20231006,00636,8,134,6341381,2.78
20231006,00636,9,239,17590520,7.73
20231006,00636,10,99,13776145,6.06
20231006,00636,11,41,12724914,5.59
20231006,00636,12,13,6386000,2.80
20231006,00636,13,4,2863983,1.25
20231006,00636,14,5,4569437,2.01
20231006,00636,15,11,98066939,43.13
20231006,00636,16,0,0,0.00
20231006,00636,17,11735,227325000,100.00
20231006,00636K,1,4,1900,3.05
20231006,00636K,2,4,8000,12.88
20231006,00636K,3,1,7700,12.39
20231006,00636K,4,0,0,0.00
20231006,00636K,5,0,0,0.00
20231006,00636K,6,0,0,0.00
20231006,00636K,7,0,0,0.00
20231006,00636K,8,1,44500,71.65
20231006,00636K,9,0,0,0.00
20231006,00636K,10,0,0,0.00
20231006,00636K,11,0,0,0.00
20231006,00636K,12,0,0,0.00
20231006,00636K,13,0,0,0.00
20231006,00636K,14,0,0,0.00
20231006,00636K,15,0,0,0.00
20231006,00636K,16,0,0,0.00
20231006,00636K,17,10,62100,100.00
20231006,00637L,1,468,113377,0.00
20231006,00637L,2,8716,24126059,1.38
20231006,00637L,3,4344,36355224,2.09
20231006,00637L,4,2015,26557613,1.52
20231006,00637L,5,1904,35802089,2.05
20231006,00637L,6,2026,53117774,3.05
20231006,00637L,7,1245,45266260,2.60
20231006,00637L,8,914,42839337,2.46
20231006,00637L,9,2214,163153988,9.38
20231006,00637L,10,1271,183377864,10.54
20231006,00637L,11,679,193587652,11.13
20231006,00637L,12,222,110225233,6.33
20231006,00637L,13,94,65962000,3.79
20231006,00637L,14,65,58064000,3.33
20231006,00637L,15,186,700557530,40.28
20231006,00637L,16,0,0,0.00
20231006,00637L,17,26363,1739106000,100.00
20231006,00638R,1,31,2729,0.00
20231006,00638R,2,294,739550,1.85
20231006,00638R,3,96,860333,2.15
20231006,00638R,4,41,561856,1.40
20231006,00638R,5,39,745000,1.86
20231006,00638R,6,41,1101501,2.75
20231006,00638R,7,26,939000,2.35
20231006,00638R,8,21,999000,2.50
20231006,00638R,9,27,1943000,4.86
20231006,00638R,10,16,2483150,6.21
20231006,00638R,11,5,1408000,3.52
20231006,00638R,12,7,3450000,8.63
20231006,00638R,13,2,1362648,3.41
20231006,00638R,14,1,859000,2.15
20231006,00638R,15,4,22493233,56.30
20231006,00638R,16,0,0,0.00
20231006,00638R,17,651,39948000,100.00
20231006,00639,1,1092,388136,0.26
20231006,00639,2,3161,7974105,5.37
20231006,00639,3,1346,10547473,7.10
20231006,00639,4,479,6101140,4.11
20231006,00639,5,403,7380547,4.97
20231006,00639,6,370,9595235,6.46
20231006,00639,7,176,6337398,4.27
20231006,00639,8,111,5111195,3.44
20231006,00639,9,190,13633626,9.18
20231006,00639,10,86,12186733,8.21
20231006,00639,11,30,8509252,5.73
20231006,00639,12,8,3833723,2.58
20231006,00639,13,4,2559871,1.72
20231006,00639,14,2,1760000,1.18
20231006,00639,15,13,52484566,35.36
20231006,00639,16,0,0,0.00
20231006,00639,17,7471,148403000,100.00
20231006,00640L,1,184,31062,0.18
20231006,00640L,2,668,1518159,9.24
20231006,00640L,3,154,1277393,7.77
20231006,00640L,4,61,787602,4.79
20231006,00640L,5,43,805700,4.90
20231006,00640L,6,39,977200,5.95
20231006,00640L,7,15,519000,3.16
20231006,00640L,8,22,1019000,6.20
20231006,00640L,9,11,819000,4.98
20231006,00640L,10,13,1785000,10.87
20231006,00640L,11,8,2508000,15.27
20231006,00640L,12,2,862000,5.25
20231006,00640L,13,0,0,0.00
20231006,00640L,14,0,0,0.00
20231006,00640L,15,2,3509884,21.37
